sport,gold_sex_1,gold_sex_2,silver_sex_1,silver_sex_2,bronze_sex_1,bronze_sex_2,gold_age_0,gold_age_1,gold_age_2,gold_age_3,gold_age_4,gold_age_5,gold_age_6,gold_age_7,gold_age_8,gold_age_9,silver_age_0,silver_age_1,silver_age_2,silver_age_3,silver_age_4,silver_age_5,silver_age_6,silver_age_7,silver_age_8,silver_age_9,bronze_age_0,bronze_age_1,bronze_age_2,bronze_age_3,bronze_age_4,bronze_age_5,bronze_age_6,bronze_age_7,bronze_age_8,bronze_age_9,gold_weight_0,gold_weight_1,gold_weight_2,gold_weight_3,gold_weight_4,gold_weight_5,gold_weight_6,gold_weight_7,gold_weight_8,gold_weight_9,silver_weight_0,silver_weight_1,silver_weight_2,silver_weight_3,silver_weight_4,silver_weight_5,silver_weight_6,silver_weight_7,silver_weight_8,silver_weight_9,bronze_weight_0,bronze_weight_1,bronze_weight_2,bronze_weight_3,bronze_weight_4,bronze_weight_5,bronze_weight_6,bronze_weight_7,bronze_weight_8,bronze_weight_9,gold_height_0,gold_height_1,gold_height_2,gold_height_3,gold_height_4,gold_height_5,gold_height_6,gold_height_7,gold_height_8,gold_height_9,silver_height_0,silver_height_1,silver_height_2,silver_height_3,silver_height_4,silver_height_5,silver_height_6,silver_height_7,silver_height_8,silver_height_9,bronze_height_0,bronze_height_1,bronze_height_2,bronze_height_3,bronze_height_4,bronze_height_5,bronze_height_6,bronze_height_7,bronze_height_8,bronze_height_9,
Hockey,0.09095503,0.1082934,0.08564932,0.1089788,0.08868115,0.1103496,0.02298851,0.09583571,0.1036237,0.08510638,0,0,0,0,0,0,0.1034483,0.09754706,0.08773045,0.08510638,0,0,0,0,0,0,0.05747126,0.09583571,0.09917355,0.04255319,0,0,0,0,0,0,0,0.09822185,0.08667918,0.1201923,0,0,0,0,0,0,0,0.09652837,0.08930582,0.08653846,0,0,0,0,0,0,0,0.09906859,0.08405253,0.1057692,0,0,0,0,0,0,0,1,0.06097561,0.08920188,0.1020636,0.0919708,0.1142857,0.2857143,0,0,0,0,0.06097561,0.1021127,0.07808143,0.1,0.09047619,0,0,0,0,0,0.07317073,0.08568075,0.09537089,0.08540146,0.08095238,0.1428571,0,0
Rowing,0.08807427,0.1085271,0.08759819,0.1098951,0.08914544,0.1098951,0.09795918,0.09195081,0.09771726,0.1225806,0.09090909,0,0,0,0,0,0.06938776,0.09055338,0.09931918,0.116129,0.09090909,0.4,0,0,0,0,0.06530612,0.09153158,0.103324,0.1290323,0.09090909,0,0,0,0,0,0.2105263,0.07787392,0.0902527,0.09453125,0.1565657,1,0,0,0,0,0.07894737,0.08776267,0.0945192,0.08697917,0.0959596,0,0,0,0,0,0.131579,0.08899876,0.0984575,0.08671875,0.1161616,0,0,0,0,0,0,0.25,0.1625,0.07142857,0.0716946,0.08742225,0.1035801,0.1038339,0.2,0,0,0.125,0.1625,0.07714286,0.09124767,0.08673117,0.09489051,0.07507987,0.3,0,0,0.25,0.1375,0.07142857,0.103352,0.08569454,0.08272506,0.129393,0.1,0
Bobsleigh,0.04288165,0.05594406,0.04150943,0.05594406,0.04391081,0.05594406,0.2857143,0.0317092,0.05060584,0.06910569,0.05405406,0,0,0,0,0,0.1428571,0.03325599,0.05274412,0.03658536,0.05405406,0,0,0,0,0,0,0.03712297,0.05416964,0.03658536,0.02702703,0,0,0,0,0,0,0,0.03164557,0.04163775,0.05860806,0.2857143,0,0,0,0,0,0.125,0.04852321,0.04233171,0.04029304,0,0,0,0,0,0,0,0.0464135,0.03816794,0.06593407,0.1428571,0,0,0,0,0,0,0,0,0.035533,0.03382353,0.07174888,0.06666667,0,0,0,0,0,0.03125,0.05837563,0.03970588,0.0426009,0.03333334,0,0,0,0,0,0.03125,0.04822335,0.04411765,0.0426009,0.06666667,0,0
Fencing,0.05437893,0.0595,0.05346308,0.058,0.05174585,0.057,0.04,0.05559013,0.06253284,0.0681606,0.03676471,0,0,0,0,0,0.05142857,0.05330844,0.06279559,0.05602241,0.05147059,0,0,0,0,0,0.03428571,0.05144161,0.06095638,0.06255836,0.02941176,0,0,0,0,0,0,0.05671642,0.05858343,0.05344995,0,0,0,0,0,0,0,0.04850746,0.05810324,0.06122449,0.1666667,0,0,0,0,0,0,0.05373134,0.05402161,0.06413994,0,0,0,0,0,0,0,0,0,0.05714286,0.05665839,0.06042818,0.06737588,0.1111111,0,0,0,0,0.01886792,0.05571429,0.06410257,0.05973757,0.05555556,0.1333333,0,0,0,0,0.03773585,0.05142857,0.04673284,0.06042818,0.06501182,0.08888889,0,0
Equestrianism,0.05276579,0.04414125,0.04609651,0.06982344,0.04982346,0.05216694,0,0.04414003,0.05484743,0.05116867,0.06959707,0.05063291,0,0,0,0,0,0.03957382,0.05175744,0.0581175,0.05860806,0.06329114,0,0,0,0,0.05,0.03881279,0.04982619,0.05938092,0.06776557,0.06329114,0,0,0,0,0,0.03481288,0.05082592,0.07142857,0,0,0,0,0,0,0,0.04873803,0.04701398,0.07142857,0,0,0,0,0,0,0,0.03916449,0.05368488,0.03571429,0,0,0,0,0,0,0,0,0,0.02867384,0.04774654,0.05280749,0.06938776,0,0,0,0,0,0.01666667,0.0483871,0.04685408,0.05080214,0.06530612,0,0,0,0,0,0.05,0.0358423,0.04774654,0.05080214,0.08163265,0,0,0
Shooting,0.03712464,0.02842227,0.03722748,0.02842227,0.03691896,0.02784223,0.04511278,0.03789246,0.04169662,0.03199692,0.03375,0.03759398,0.05,0,0,0,0.03759398,0.03139661,0.04217589,0.03392444,0.03375,0.05263158,0,0.3333333,0,0,0,0.03392277,0.03714354,0.03199692,0.0475,0.03007519,0.05,0,0,0,0,0.01815642,0.02522101,0.03096143,0.007462686,0,0,0,0,0,0,0.0202514,0.02366095,0.02987507,0.01492537,0.02941176,0,0,0,0,0.1428571,0.02094972,0.02418097,0.02987507,0.02238806,0.02941176,0,0,0,0,0,0,0.04242424,0.02141158,0.0294289,0.0359596,0.02287582,0.03846154,0,0,0,0,0.03030303,0.0222046,0.0270979,0.03030303,0.01633987,0,0,0,0,0,0.03030303,0.02379064,0.0259324,0.03151515,0.02614379,0,0,0
Boxing,0.04117155,0.08333334,0.04100418,0.08333334,0.07179917,0.1666667,0.05027933,0.04324894,0.0399361,0.2,0,0,0,0,0,0,0.03631285,0.042827,0.04632588,0,0,0,0,0,0,0,0.05307262,0.07890295,0.07028754,0,0,0,0,0,0,0,0,0.04083527,0.04137235,0.06214689,0.07407407,0,0,0,0,0,0,0.03851508,0.03935419,0.05367232,0.05555556,0,1,0,0,0,0,0.0649652,0.07971746,0.1186441,0.1481481,0,0,0,0,0,0,0,0.04545455,0.04142582,0.03713671,0.04380792,0.06940063,0.1764706,0,0,0,0,0.03787879,0.03564547,0.03444564,0.0505476,0.04731861,0.05882353,0,0,0,0.25,0.03030303,0.07225434,0.06673843,0.08761584,0.1135647,0.2352941,0,0
Taekwondo,0.06514658,0.06688963,0.06514658,0.06688963,0.1042345,0.1070234,0.0212766,0.07834101,0.04032258,0,0,0,0,0,0,0,0.06382979,0.06682028,0.06451613,0,0,0,0,0,0,0,0.106383,0.1175115,0.06451613,0,0,0,0,0,0,0,0,0.05726872,0.07342657,0.07894737,0,0,0,0,0,0,0,0.06167401,0.06993007,0.05263158,0.1538462,0,0,0,0,0,0,0.09251101,0.1118881,0.1184211,0.1538462,0,0,0,0,0,0,0,0.1333333,0.05479452,0.05069124,0.07,0.1111111,0.05,0,0,0,0,0,0.08219178,0.08755761,0.04,0.05555556,0.1,1,0,0,0,0.06666667,0.04109589,0.1105991,0.11,0.1111111,0.3,0,0
Cycling,0.03866878,0.04160689,0.03866878,0.04232424,0.0375066,0.04232424,0.03536978,0.04461871,0.03104787,0.05882353,0,0,0,0,0,0,0.0192926,0.04218496,0.03708495,0.04575163,0,0,0,0,0,0,0.03858521,0.04150892,0.03363519,0.03267974,0,0,0,0,0,0,0,0.02028796,0.03657658,0.06854839,0,0,0,0,0,0,0,0.02683246,0.03585586,0.06854839,0,0,0,0,0,0,0,0.02094241,0.03675676,0.04704301,0,0,0,0,0,0,0,0,0,0.02317073,0.02893482,0.04900782,0.04761905,0,0,0,0,0,0,0.02926829,0.03497615,0.03938665,0.05090312,0,0,0,0,0,0.02040816,0.02560976,0.02925278,0.04088996,0.04433497,0,0,0
Diving,0.04595588,0.0553719,0.04595588,0.0553719,0.04656863,0.0553719,0.06525911,0.05051048,0.04281345,0,0,0,0,0,0,0,0.07485604,0.04674906,0.03975535,0.1,0,0,0,0,0,0,0.03262956,0.05857066,0.04587156,0,0,0,0,0,0,0,0.15625,0.05979203,0.0392638,0,0,0,0,0,0,0,0.125,0.05719237,0.04417178,0,0,0,0,0,0,0,0.0625,0.05719237,0.04662577,0,0,0,0,0,0,0,0,0.2857143,0.04444445,0.07228915,0.04601571,0.03482587,0,0,0,0,0,0.2857143,0.05777778,0.06425703,0.04152637,0.04975124,0.1428571,0,0,0,0,0.1428571,0.06222222,0.05756359,0.05274972,0.04975124,0,0,0,0
Canoeing,0.06136506,0.06811594,0.06136506,0.06811594,0.06157378,0.06811594,0.02808989,0.06085044,0.07195468,0.07368421,0,0,0,0,0,0,0.03370786,0.05913978,0.07592068,0.06315789,0,0,0,0,0,0,0.02247191,0.06549364,0.06402266,0.04210526,0,0,0,0,0,0,0,0.02997859,0.05665635,0.083878,0.05263158,0,0,0,0,0,0,0.03640257,0.05789474,0.07407407,0.1052632,0,0,0,0,0,0,0.04925054,0.05882353,0.07135076,0.1578947,0,0,0,0,0,0,0,0,0.03517588,0.06772009,0.05678105,0.08725603,0.05882353,0,0,0,0,0,0.04522613,0.06659142,0.05310458,0.08495982,0.03921569,0,0,0,0,0,0.05527638,0.05925508,0.06331699,0.07003444,0.1176471,0,0
